"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.LBFL21_1_20_21_cm","MAWC.LBFL21_1_20_21_cm","peat",92,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_22_23_cm","MAWC.LBFL21_1_22_23_cm","peat",93,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_24_25_cm","MAWC.LBFL21_1_24_25_cm","peat",94,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_26_27_cm","MAWC.LBFL21_1_26_27_cm","peat",95,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_28_29_cm","MAWC.LBFL21_1_28_29_cm","peat",96,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",2.3,-4.2,8.8,547.03,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_30_31_cm","MAWC.LBFL21_1_30_31_cm","peat",97,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_32_33_cm","MAWC.LBFL21_1_32_33_cm","peat",98,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_34_35_cm","MAWC.LBFL21_1_34_35_cm","peat",99,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_36_37_cm","MAWC.LBFL21_1_36_37_cm","peat",100,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.LBFL21_1_38_39_cm","MAWC.LBFL21_1_38_39_cm","peat",101,"LBFL21 peat core",NA,NA,NA,NA,"",NA,NA,NA,"","",1.4,-5.1,7.9,881.88,"PRISM 1991-2020 800-m",NA,NA,NA,NA
